id,source_type,source_file,source_line,raw_payload,transaction_type,description,amount_type,amount_description,amount_field,amount,order_id,sku,settlement_id,shipment_id,merchant_order_id,txn_date,record_ref,matched_config_id,matched_config_source,summary_field,match_ambiguous,created_at
277,payment,data/amazon_payments_data.csv,36,"{""sku"": ""BIO-S956138845_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""20.51"", ""order ID"": ""503-2423357-0411029"", ""quantity"": ""1"", ""date/time"": ""30 June 2026 11:46:56 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MERRYLANDS"", ""description"": ""BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2160"", ""selling fees"": ""-4.72"", ""product sales"": ""32.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""9 July 2026 7:22:00 am GMT+9"", ""fulfilment by amazon fees"": ""-7.76""}",Order,"BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69",,,shipping_credits,0.00,503-2423357-0411029,BIO-S956138845_AU,12382593803,,,2026-07-08,503-2423357-0411029+BIO-S956138845_AU+2026-07-08,67,payment,,f,2026-09-19 12:04:00.845567+00
278,payment,data/amazon_payments_data.csv,36,"{""sku"": ""BIO-S956138845_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""20.51"", ""order ID"": ""503-2423357-0411029"", ""quantity"": ""1"", ""date/time"": ""30 June 2026 11:46:56 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MERRYLANDS"", ""description"": ""BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2160"", ""selling fees"": ""-4.72"", ""product sales"": ""32.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""9 July 2026 7:22:00 am GMT+9"", ""fulfilment by amazon fees"": ""-7.76""}",Order,"BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69",,,gift_wrap_credits,0.00,503-2423357-0411029,BIO-S956138845_AU,12382593803,,,2026-07-08,503-2423357-0411029+BIO-S956138845_AU+2026-07-08,69,payment,,f,2026-09-19 12:04:00.845567+00
279,payment,data/amazon_payments_data.csv,36,"{""sku"": ""BIO-S956138845_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""20.51"", ""order ID"": ""503-2423357-0411029"", ""quantity"": ""1"", ""date/time"": ""30 June 2026 11:46:56 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MERRYLANDS"", ""description"": ""BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2160"", ""selling fees"": ""-4.72"", ""product sales"": ""32.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""9 July 2026 7:22:00 am GMT+9"", ""fulfilment by amazon fees"": ""-7.76""}",Order,"BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69",,,promotional_rebates,0.00,503-2423357-0411029,BIO-S956138845_AU,12382593803,,,2026-07-08,503-2423357-0411029+BIO-S956138845_AU+2026-07-08,64,payment,,f,2026-09-19 12:04:00.845567+00
280,payment,data/amazon_payments_data.csv,36,"{""sku"": ""BIO-S956138845_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""20.51"", ""order ID"": ""503-2423357-0411029"", ""quantity"": ""1"", ""date/time"": ""30 June 2026 11:46:56 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MERRYLANDS"", ""description"": ""BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2160"", ""selling fees"": ""-4.72"", ""product sales"": ""32.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""9 July 2026 7:22:00 am GMT+9"", ""fulfilment by amazon fees"": ""-7.76""}",Order,"BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69",,,sales_tax_collected,0.00,503-2423357-0411029,BIO-S956138845_AU,12382593803,,,2026-07-08,503-2423357-0411029+BIO-S956138845_AU+2026-07-08,70,payment,,f,2026-09-19 12:04:00.845567+00
281,payment,data/amazon_payments_data.csv,36,"{""sku"": ""BIO-S956138845_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""20.51"", ""order ID"": ""503-2423357-0411029"", ""quantity"": ""1"", ""date/time"": ""30 June 2026 11:46:56 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MERRYLANDS"", ""description"": ""BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2160"", ""selling fees"": ""-4.72"", ""product sales"": ""32.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""9 July 2026 7:22:00 am GMT+9"", ""fulfilment by amazon fees"": ""-7.76""}",Order,"BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69",,,low_value_goods,0.00,503-2423357-0411029,BIO-S956138845_AU,12382593803,,,2026-07-08,503-2423357-0411029+BIO-S956138845_AU+2026-07-08,4,payment,,f,2026-09-19 12:04:00.845567+00
282,payment,data/amazon_payments_data.csv,36,"{""sku"": ""BIO-S956138845_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""20.51"", ""order ID"": ""503-2423357-0411029"", ""quantity"": ""1"", ""date/time"": ""30 June 2026 11:46:56 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""MERRYLANDS"", ""description"": ""BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69"", ""marketplace"": ""amazon.com.au"", ""order state"": ""NSW"", ""order postal"": ""2160"", ""selling fees"": ""-4.72"", ""product sales"": ""32.99"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""0"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""9 July 2026 7:22:00 am GMT+9"", ""fulfilment by amazon fees"": ""-7.76""}",Order,"BIODANCE Pore Perfecting Collagen Peptide Cream, Hydrating, Plumping, Pore Care, Firming Facial Moisturizer, Korean Skincare | Gifts for women | 1.69",,,selling_fees,-4.72,503-2423357-0411029,BIO-S956138845_AU,12382593803,,,2026-07-08,503-2423357-0411029+BIO-S956138845_AU+2026-07-08,63,payment,expenses_amazon_fees,f,2026-09-19 12:04:00.845567+00
4537,payment,data/amazon_payments_data.csv,423,"{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""15.96"", ""order ID"": ""249-7410118-7629401"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 9:54:44 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""POINT COOK"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3030"", ""selling fees"": ""0"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-2.46"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""10 July 2026 6:16:51 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",Order,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3",,,sales_tax_collected,0.00,249-7410118-7629401,BIO-S000004059_AU,12382593803,,,2026-07-09,249-7410118-7629401+BIO-S000004059_AU+2026-07-09,70,payment,,f,2026-09-19 12:04:00.845567+00
4538,payment,data/amazon_payments_data.csv,423,"{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""15.96"", ""order ID"": ""249-7410118-7629401"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 9:54:44 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""POINT COOK"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3030"", ""selling fees"": ""0"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-2.46"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""10 July 2026 6:16:51 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",Order,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3",,,low_value_goods,0.00,249-7410118-7629401,BIO-S000004059_AU,12382593803,,,2026-07-09,249-7410118-7629401+BIO-S000004059_AU+2026-07-09,4,payment,,f,2026-09-19 12:04:00.845567+00
4539,payment,data/amazon_payments_data.csv,423,"{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""15.96"", ""order ID"": ""249-7410118-7629401"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 9:54:44 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""POINT COOK"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3030"", ""selling fees"": ""0"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-2.46"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""10 July 2026 6:16:51 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",Order,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3",,,selling_fees,0.00,249-7410118-7629401,BIO-S000004059_AU,12382593803,,,2026-07-09,249-7410118-7629401+BIO-S000004059_AU+2026-07-09,63,payment,,f,2026-09-19 12:04:00.845567+00
4540,payment,data/amazon_payments_data.csv,423,"{""sku"": ""BIO-S000004059_AU"", ""type"": ""Order"", ""other"": ""0"", ""total"": ""15.96"", ""order ID"": ""249-7410118-7629401"", ""quantity"": ""1"", ""date/time"": ""1 July 2026 9:54:44 pm GMT+9"", ""fulfilment"": ""Amazon"", ""order city"": ""POINT COOK"", ""description"": ""BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3"", ""marketplace"": ""amazon.com.au"", ""order state"": ""VIC"", ""order postal"": ""3030"", ""selling fees"": ""0"", ""product sales"": ""24.59"", ""settlement ID"": ""12382593803"", ""low value goods"": ""0"", ""shipping credits"": ""0"", ""gift wrap credits"": ""0"", ""Transaction status"": ""Released"", ""promotional rebates"": ""-2.46"", ""sales tax collected"": ""0"", ""other transaction fees"": ""0"", ""Transaction Release Date"": ""10 July 2026 6:16:51 am GMT+9"", ""fulfilment by amazon fees"": ""-6.17""}",Order,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity, Plumping Improvement, Korean Skincare | 1.19oz(3",,,fba_fees,-6.17,249-7410118-7629401,BIO-S000004059_AU,12382593803,,,2026-07-09,249-7410118-7629401+BIO-S000004059_AU+2026-07-09,72,payment,expenses_amazon_fees,f,2026-09-19 12:04:00.845567+00
